time,buyer_id,seller_id,price,quantity,ptype,period,buyer_algo,buyer_util,buyer_balance,seller_algo,seller_util,seller_balance
31,15,4,47,1,X,2,GDZ,0.4,"{'money': 0, 'X': 5, 'Y': 8}",ZIP,0.1,"{'money': 247, 'X': 3, 'Y': 2}"
31,3,15,45,1,X,2,ZIP,0.3,"{'money': 128, 'X': 3, 'Y': 6}",GDZ,0.4,"{'money': 45, 'X': 4, 'Y': 8}"
31,6,12,45,1,X,2,ZIP,0.1,"{'money': 292, 'X': 1, 'Y': 3}",GDZ,0.4,"{'money': 46, 'X': 4, 'Y': 8}"
31,7,16,22,1,Y,2,ZIP,0.15,"{'money': 220, 'X': 3, 'Y': 3}",GDZ,0.4475,"{'money': 179, 'X': 0, 'Y': 9}"
32,1,8,21,1,Y,2,ZIP,0.15,"{'money': 109, 'X': 6, 'Y': 3}",ZIP,0.1,"{'money': 53, 'X': 1, 'Y': 16}"
32,9,6,20,1,Y,2,ZIP,0.1,"{'money': 302, 'X': 1, 'Y': 3}",ZIP,0.1,"{'money': 312, 'X': 1, 'Y': 2}"
32,4,18,20,1,Y,2,ZIP,0.15,"{'money': 227, 'X': 3, 'Y': 3}",GDZ,0.4,"{'money': 43, 'X': 4, 'Y': 8}"
33,15,5,22,1,Y,2,GDZ,0.4,"{'money': 23, 'X': 4, 'Y': 9}",ZIP,0.1,"{'money': 76, 'X': 1, 'Y': 15}"
33,12,7,46,1,X,2,GDZ,0.4,"{'money': 0, 'X': 5, 'Y': 8}",ZIP,0.15,"{'money': 266, 'X': 2, 'Y': 3}"
33,18,17,21,1,Y,2,GDZ,0.4,"{'money': 22, 'X': 4, 'Y': 9}",GDZ,0.275,"{'money': 110, 'X': 3, 'Y': 10}"
33,3,1,45,1,X,2,ZIP,0.3,"{'money': 83, 'X': 4, 'Y': 6}",ZIP,0.15,"{'money': 154, 'X': 5, 'Y': 3}"
34,6,15,20,1,Y,2,ZIP,0.1,"{'money': 292, 'X': 1, 'Y': 3}",GDZ,0.4,"{'money': 43, 'X': 4, 'Y': 8}"
34,2,12,45,1,X,2,ZIP,0.1,"{'money': 104, 'X': 1, 'Y': 14}",GDZ,0.4,"{'money': 45, 'X': 4, 'Y': 8}"
34,3,17,20,1,Y,2,ZIP,0.35,"{'money': 63, 'X': 4, 'Y': 7}",GDZ,0.3,"{'money': 130, 'X': 3, 'Y': 9}"
35,12,11,20,1,Y,2,GDZ,0.4,"{'money': 25, 'X': 4, 'Y': 9}",GDZ,0.5,"{'money': 224, 'X': 5, 'Y': 2}"
35,15,5,21,1,Y,2,GDZ,0.4,"{'money': 22, 'X': 4, 'Y': 9}",ZIP,0.1,"{'money': 97, 'X': 1, 'Y': 14}"
35,2,1,46,1,X,2,ZIP,0.145,"{'money': 58, 'X': 2, 'Y': 14}",ZIP,0.15,"{'money': 200, 'X': 4, 'Y': 3}"
36,3,11,17,1,Y,2,ZIP,0.4,"{'money': 46, 'X': 4, 'Y': 8}",GDZ,0.5,"{'money': 241, 'X': 5, 'Y': 1}"
36,6,2,20,1,Y,2,ZIP,0.1,"{'money': 272, 'X': 1, 'Y': 4}",ZIP,0.195,"{'money': 78, 'X': 2, 'Y': 13}"
36,7,12,20,1,Y,2,ZIP,0.2,"{'money': 246, 'X': 2, 'Y': 4}",GDZ,0.4,"{'money': 45, 'X': 4, 'Y': 8}"
37,12,11,14,1,Y,2,GDZ,0.4,"{'money': 31, 'X': 4, 'Y': 9}",GDZ,0.5,"{'money': 255, 'X': 5, 'Y': 0}"
38,9,4,46,1,X,2,ZIP,0.15,"{'money': 256, 'X': 2, 'Y': 3}",ZIP,0.15,"{'money': 273, 'X': 2, 'Y': 3}"
38,11,4,47,1,X,2,GDZ,0.52,"{'money': 208, 'X': 6, 'Y': 0}",ZIP,0.15,"{'money': 320, 'X': 1, 'Y': 3}"
38,6,12,14,1,Y,2,ZIP,0.1,"{'money': 258, 'X': 1, 'Y': 5}",GDZ,0.4,"{'money': 45, 'X': 4, 'Y': 8}"
39,4,18,14,1,Y,2,ZIP,0.2,"{'money': 306, 'X': 1, 'Y': 4}",GDZ,0.4,"{'money': 36, 'X': 4, 'Y': 8}"
40,18,17,15,1,Y,2,GDZ,0.4,"{'money': 21, 'X': 4, 'Y': 9}",GDZ,0.3,"{'money': 145, 'X': 3, 'Y': 8}"
40,12,14,14,1,Y,2,GDZ,0.4,"{'money': 31, 'X': 4, 'Y': 9}",GDZ,0.4,"{'money': 198, 'X': 4, 'Y': 4}"
41,6,1,46,1,X,2,ZIP,0.2,"{'money': 212, 'X': 2, 'Y': 5}",ZIP,0.15,"{'money': 246, 'X': 3, 'Y': 3}"
41,3,15,14,1,Y,2,ZIP,0.4,"{'money': 32, 'X': 4, 'Y': 9}",GDZ,0.4,"{'money': 36, 'X': 4, 'Y': 8}"
41,4,1,46,1,X,2,ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 4}",ZIP,0.15,"{'money': 292, 'X': 2, 'Y': 3}"
42,5,5,14,1,Y,2,ZIP,0.1,"{'money': 97, 'X': 1, 'Y': 14}",ZIP,0.1,"{'money': 97, 'X': 1, 'Y': 14}"
43,9,7,46,1,X,2,ZIP,0.15,"{'money': 210, 'X': 3, 'Y': 3}",ZIP,0.2,"{'money': 292, 'X': 1, 'Y': 4}"
43,3,12,15,1,Y,2,ZIP,0.4,"{'money': 17, 'X': 4, 'Y': 10}",GDZ,0.4,"{'money': 46, 'X': 4, 'Y': 8}"
44,9,7,46,1,X,2,ZIP,0.15,"{'money': 164, 'X': 4, 'Y': 3}",ZIP,0.2,"{'money': 338, 'X': 0, 'Y': 4}"
44,3,2,16,1,Y,2,ZIP,0.4,"{'money': 1, 'X': 4, 'Y': 11}",ZIP,0.2,"{'money': 94, 'X': 2, 'Y': 12}"
45,7,8,16,1,Y,2,ZIP,0.25,"{'money': 322, 'X': 0, 'Y': 5}",ZIP,0.1,"{'money': 69, 'X': 1, 'Y': 15}"
46,7,1,46,1,X,2,ZIP,0.25,"{'money': 276, 'X': 1, 'Y': 5}",ZIP,0.15,"{'money': 338, 'X': 1, 'Y': 3}"
47,9,1,46,1,X,2,ZIP,0.15,"{'money': 118, 'X': 5, 'Y': 3}",ZIP,0.15,"{'money': 384, 'X': 0, 'Y': 3}"
47,5,8,15,1,Y,2,ZIP,0.1,"{'money': 82, 'X': 1, 'Y': 15}",ZIP,0.1,"{'money': 84, 'X': 1, 'Y': 14}"
48,9,7,46,1,X,2,ZIP,0.15,"{'money': 72, 'X': 6, 'Y': 3}",ZIP,0.25,"{'money': 322, 'X': 0, 'Y': 5}"
49,8,6,14,1,Y,2,ZIP,0.1,"{'money': 70, 'X': 1, 'Y': 15}",ZIP,0.2,"{'money': 226, 'X': 2, 'Y': 4}"
49,7,2,15,1,Y,2,ZIP,0.3,"{'money': 307, 'X': 0, 'Y': 6}",ZIP,0.2,"{'money': 109, 'X': 2, 'Y': 11}"
51,1,8,15,1,Y,2,ZIP,0.2,"{'money': 369, 'X': 0, 'Y': 4}",ZIP,0.1,"{'money': 85, 'X': 1, 'Y': 14}"
52,6,5,15,1,Y,2,ZIP,0.2,"{'money': 211, 'X': 2, 'Y': 5}",ZIP,0.1,"{'money': 97, 'X': 1, 'Y': 14}"
52,4,4,47,1,X,2,ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 4}",ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 4}"
53,9,5,15,1,Y,2,ZIP,0.2,"{'money': 57, 'X': 6, 'Y': 4}",ZIP,0.1,"{'money': 112, 'X': 1, 'Y': 13}"
54,4,2,15,1,Y,2,ZIP,0.25,"{'money': 245, 'X': 2, 'Y': 5}",ZIP,0.2,"{'money': 124, 'X': 2, 'Y': 10}"
55,8,6,15,1,Y,2,ZIP,0.1,"{'money': 70, 'X': 1, 'Y': 15}",ZIP,0.2,"{'money': 226, 'X': 2, 'Y': 4}"
56,5,4,47,1,X,2,ZIP,0.1625,"{'money': 65, 'X': 2, 'Y': 13}",ZIP,0.25,"{'money': 292, 'X': 1, 'Y': 5}"
56,7,2,15,1,Y,2,ZIP,0.35,"{'money': 292, 'X': 0, 'Y': 7}",ZIP,0.2,"{'money': 139, 'X': 2, 'Y': 9}"
56,8,5,15,1,Y,2,ZIP,0.1,"{'money': 55, 'X': 1, 'Y': 16}",ZIP,0.2,"{'money': 80, 'X': 2, 'Y': 12}"
61,6,4,47,1,X,2,ZIP,0.2,"{'money': 179, 'X': 3, 'Y': 4}",ZIP,0.25,"{'money': 339, 'X': 0, 'Y': 5}"
62,4,6,47,1,X,2,ZIP,0.25,"{'money': 292, 'X': 1, 'Y': 5}",ZIP,0.2,"{'money': 226, 'X': 2, 'Y': 4}"
63,9,5,15,1,Y,2,ZIP,0.25,"{'money': 42, 'X': 6, 'Y': 5}",ZIP,0.2,"{'money': 95, 'X': 2, 'Y': 11}"
64,4,9,47,1,X,2,ZIP,0.25,"{'money': 245, 'X': 2, 'Y': 5}",ZIP,0.25,"{'money': 89, 'X': 5, 'Y': 5}"
64,4,2,15,1,Y,2,ZIP,0.3,"{'money': 230, 'X': 2, 'Y': 6}",ZIP,0.2,"{'money': 154, 'X': 2, 'Y': 8}"
65,6,5,15,1,Y,2,ZIP,0.2,"{'money': 211, 'X': 2, 'Y': 5}",ZIP,0.2,"{'money': 110, 'X': 2, 'Y': 10}"
66,5,5,15,1,Y,2,ZIP,0.2,"{'money': 110, 'X': 2, 'Y': 10}",ZIP,0.2,"{'money': 110, 'X': 2, 'Y': 10}"
67,2,4,47,1,X,2,ZIP,0.2675,"{'money': 107, 'X': 3, 'Y': 8}",ZIP,0.3,"{'money': 277, 'X': 1, 'Y': 6}"
68,6,9,47,1,X,2,ZIP,0.25,"{'money': 164, 'X': 3, 'Y': 5}",ZIP,0.25,"{'money': 136, 'X': 4, 'Y': 5}"
72,6,5,15,1,Y,2,ZIP,0.3,"{'money': 149, 'X': 3, 'Y': 6}",ZIP,0.2,"{'money': 125, 'X': 2, 'Y': 9}"
